Game_ID,Game_Name,Genre,Platform,Country,Region,Player_ID,Age_Group,Gender,Device,Play_Date,Session_Duration_Min,Daily_Active_Users,Monthly_Active_Users,Revenue_USD,In_App_Purchases_USD,Purchases_Count,Average_Purchase_Value,Retention_Rate,Game_Rating,Tournament,Premium_User
G002,Honor of Kings,MOBA,Mobile,China,Asia,P000048,18-24,Female,Android,2025-07-09,172,101523,1725891,112960.85,85400.37,2593,32.93,87.7,4.6,Yes,No
G002,CrossFire,FPS,PC,Japan,Asia,P000049,35-44,Male,PC,2025-08-01,102,178905,3399195,43145.97,17320.32,2312,7.49,48.89,4.7,No,Yes
G006,Honor of Kings,MOBA,PC,Pakistan,Asia,P000050,13-17,Female,Android,2026-02-19,15,107611,1721776,135840.73,84652.38,2668,31.73,50.16,4.2,Yes,No
G005,Arena of Valor,MOBA,PC,India,Asia,P000051,25-34,Female,Android,2025-03-08,11,476099,7141485,91380.6,51857.16,377,137.55,80.34,3.7,No,No
G005,League of Legends,MOBA,Mobile,South Korea,Asia,P000052,45+,Male,iOS,2025-11-24,122,432189,8643780,34044.11,22069.79,91,242.53,49.24,4.7,Yes,Yes
G009,CrossFire,FPS,PC,Indonesia,Asia,P000053,18-24,Female,Android,2025-03-15,72,134660,2423880,17118.52,7137.26,4546,1.57,66.85,3.8,No,No
G009,Speed Drifters,Racing,Mobile,Indonesia,Asia,P000054,25-34,Female,iOS,2025-10-02,100,127786,1150074,104793.32,74419.38,1944,38.28,42.02,3.9,No,Yes
G006,Call of Duty Mobile,FPS,Mobile,Brazil,South America,P000055,35-44,Female,Android,2026-06-04,139,128471,1156239,71057.17,60667.48,1562,38.84,40.5,4.7,No,Yes
G005,PUBG Mobile,Battle Royale,Mobile,China,Asia,P000056,13-17,Male,Android,2025-07-18,24,253912,3046944,210298.53,180265.33,350,515.04,49.94,4.8,No,No
G001,Honor of Kings,MOBA,Mobile,India,Asia,P000057,25-34,Male,PC,2025-07-28,213,339211,5427376,55193.71,32252.68,1178,27.38,25.76,4.0,No,Yes
G002,Undawn,RPG,PC,USA,North America,P000058,13-17,Female,PC,2025-06-08,168,45860,504460,8835.18,5723.54,3980,1.44,60.78,4.5,No,No
G006,CrossFire,FPS,PC,USA,North America,P000059,35-44,Male,iOS,2025-07-21,105,355125,4971750,105043.5,44714.95,4660,9.6,73.78,3.8,Yes,No
G003,Call of Duty Mobile,FPS,Mobile,South Korea,Asia,P000060,13-17,Male,PC,2025-05-26,169,64527,451689,102148.2,85949.43,3795,22.65,79.03,4.1,No,Yes
G007,Call of Duty Mobile,FPS,PC,Japan,Asia,P000061,18-24,Female,Android,2025-02-14,238,153528,1535280,130768.56,112820.56,911,123.84,57.34,3.6,No,Yes
G008,Undawn,RPG,Mobile,Indonesia,Asia,P000062,45+,Male,Android,2026-02-14,137,340714,4088568,155642.22,110095.79,1626,67.71,35.48,4.0,Yes,Yes
G010,Arena of Valor,MOBA,PC,China,Asia,P000063,45+,Female,PC,2026-03-07,83,468398,2810388,167306.21,94043.05,3213,29.27,64.04,4.1,No,No
G004,Chess Rush,Strategy,PC,Pakistan,Asia,P000064,45+,Female,Android,2026-04-30,107,98723,493615,1873.52,1673.18,3831,0.44,32.17,3.7,No,No
G009,PUBG Mobile,Battle Royale,Mobile,Pakistan,Asia,P000065,13-17,Female,PC,2025-05-20,11,269420,1616520,11122.26,5173.36,2590,2.0,82.42,5.0,Yes,Yes
G002,Call of Duty Mobile,FPS,PC,Pakistan,Asia,P000066,45+,Female,Android,2025-11-28,234,155932,1559320,171847.36,130696.73,1831,71.38,66.11,4.9,No,Yes
G004,League of Legends,MOBA,PC,UK,Europe,P000067,25-34,Male,Android,2025-07-06,108,487296,9745920,52872.51,28098.24,4165,6.75,35.8,4.9,No,No
G009,Call of Duty Mobile,FPS,Mobile,USA,North America,P000068,25-34,Female,PC,2026-01-16,72,65334,392004,159443.35,92459.53,3731,24.78,50.17,4.1,Yes,No
G005,Valorant,FPS,PC,India,Asia,P000069,25-34,Female,PC,2025-01-02,196,236882,2842584,45012.26,34740.34,415,83.71,27.26,3.7,No,No
G001,Chess Rush,Strategy,Mobile,Japan,Asia,P000070,13-17,Female,iOS,2025-04-19,138,474522,2847132,33873.8,17398.59,393,44.27,48.93,3.8,No,Yes
G003,Arena of Valor,MOBA,PC,Japan,Asia,P000071,13-17,Male,PC,2025-05-29,228,332118,6642360,40497.24,16484.65,2015,8.18,69.59,3.9,No,Yes
G009,Honor of Kings,MOBA,PC,UK,Europe,P000072,18-24,Male,Android,2025-02-15,20,473019,7568304,149086.34,102755.71,4950,20.76,60.61,4.1,Yes,Yes
G007,Honor of Kings,MOBA,Mobile,India,Asia,P000073,45+,Female,Android,2025-11-04,165,11475,126225,36424.37,18203.41,4172,4.36,28.25,4.8,No,Yes
G004,CrossFire,FPS,Mobile,South Korea,Asia,P000074,25-34,Male,PC,2025-02-09,36,395692,7518148,21039.16,15311.58,1456,10.52,47.48,4.6,No,Yes
G005,League of Legends,MOBA,Mobile,UK,Europe,P000075,13-17,Male,Android,2025-09-24,236,361114,6500052,171747.69,147469.02,2193,67.25,40.82,4.6,Yes,No
G008,Arena of Valor,MOBA,PC,South Korea,Asia,P000076,45+,Male,Android,2026-03-24,190,177256,2127072,95482.78,78865.34,4413,17.87,40.67,4.8,Yes,No
G010,Undawn,RPG,Mobile,Germany,Europe,P000077,25-34,Male,PC,2025-01-30,12,45790,457900,37004.13,15299.4,893,17.13,27.79,4.5,Yes,Yes
G002,Honor of Kings,MOBA,PC,India,Asia,P000078,13-17,Male,Android,2025-07-28,33,454051,7264816,50628.74,44415.83,4393,10.11,27.27,4.9,Yes,No
G006,Speed Drifters,Racing,PC,India,Asia,P000079,35-44,Female,Android,2025-12-26,70,74548,596384,198199.86,143330.23,2432,58.94,87.32,3.6,No,No
G001,Undawn,RPG,PC,UK,Europe,P000080,45+,Male,iOS,2026-04-26,185,254604,3564456,154950.69,64380.57,3402,18.92,28.22,4.3,Yes,No
G001,Call of Duty Mobile,FPS,PC,South Korea,Asia,P000081,35-44,Male,iOS,2025-07-08,131,5681,62491,72795.33,56435.25,462,122.15,64.7,4.9,No,Yes
G008,League of Legends,MOBA,Mobile,Brazil,South America,P000082,25-34,Female,Android,2026-02-15,106,496933,5963196,125080.59,56906.87,682,83.44,84.75,4.6,No,Yes
G007,Valorant,FPS,Mobile,Brazil,South America,P000083,35-44,Male,PC,2025-02-04,94,163933,2131129,107587.15,72348.97,1421,50.91,63.97,4.3,No,No
G004,Call of Duty Mobile,FPS,Mobile,Pakistan,Asia,P000084,25-34,Female,PC,2025-06-08,190,235056,3055728,145213.27,67237.89,3804,17.68,35.45,3.9,No,No
G003,Call of Duty Mobile,FPS,Mobile,Brazil,South America,P000085,18-24,Female,Android,2025-06-01,208,177005,1947055,65413.35,57399.18,853,67.29,45.24,3.9,No,Yes
G007,PUBG Mobile,Battle Royale,PC,India,Asia,P000086,18-24,Female,iOS,2025-01-23,41,152222,1674442,221426.78,139932.46,123,1137.66,42.23,4.6,Yes,Yes
G004,CrossFire,FPS,Mobile,Germany,Europe,P000087,13-17,Female,iOS,2025-11-17,71,312980,5633640,211652.39,155341.82,4802,32.35,67.09,3.6,No,Yes
G009,CrossFire,FPS,Mobile,Indonesia,Asia,P000088,25-34,Male,iOS,2026-05-17,237,136103,2449854,121203.16,49672.53,3373,14.73,90.3,3.6,Yes,Yes
G008,Arena of Valor,MOBA,Mobile,UK,Europe,P000089,25-34,Female,iOS,2026-04-13,58,187561,1500488,211942.72,133183.18,1699,78.39,91.35,3.8,Yes,No
G007,Honor of Kings,MOBA,PC,USA,North America,P000090,45+,Female,Android,2025-08-18,82,148842,2530314,100521.36,40877.43,3449,11.85,74.68,4.9,Yes,No
G008,Speed Drifters,Racing,Mobile,Brazil,South America,P000091,18-24,Female,PC,2026-02-28,124,91262,821358,232425.31,100976.59,1602,63.03,91.74,4.6,Yes,No
G008,Valorant,FPS,Mobile,Brazil,South America,P000092,25-34,Female,Android,2025-11-06,87,145207,2468519,172175.42,153485.01,1542,99.54,57.13,4.1,Yes,No
G003,Call of Duty Mobile,FPS,PC,USA,North America,P000093,45+,Male,PC,2025-01-12,58,452975,7700575,15208.66,12379.09,2679,4.62,88.77,4.5,No,Yes
G004,Undawn,RPG,PC,Indonesia,Asia,P000094,45+,Male,PC,2025-04-03,176,452833,5433996,47230.21,29565.16,1270,23.28,85.41,4.3,No,Yes
G009,Speed Drifters,Racing,Mobile,Brazil,South America,P000095,25-34,Female,Android,2025-05-23,126,283289,1983023,185736.07,115025.06,978,117.61,58.04,3.6,No,Yes
G003,Speed Drifters,Racing,PC,Brazil,South America,P000096,35-44,Female,PC,2025-10-31,220,266187,2661870,135346.13,112532.03,74,1520.7,56.21,4.1,Yes,Yes
G002,Valorant,FPS,PC,China,Asia,P000097,35-44,Male,Android,2025-08-07,188,15779,94674,170964.43,148011.86,2727,54.28,52.84,3.7,Yes,No
G009,Valorant,FPS,Mobile,Pakistan,Asia,P000098,25-34,Female,iOS,2026-05-21,108,413170,4544870,71753.61,40969.71,2080,19.7,47.36,5.0,No,Yes
G002,Speed Drifters,Racing,Mobile,India,Asia,P000099,35-44,Female,PC,2025-02-20,107,178484,1963324,79956.41,43944.82,4824,9.11,45.13,3.5,Yes,No
G002,Undawn,RPG,Mobile,China,Asia,P000100,13-17,Female,PC,2025-06-28,30,418677,7117509,154558.09,110262.84,4904,22.48,69.46,4.8,No,Yes
G005,Honor of Kings,MOBA,Mobile,Japan,Asia,P000101,35-44,Male,iOS,2025-01-21,115,462138,4159242,196848.47,134063.79,2133,62.85,62.94,4.4,Yes,No
G008,Undawn,RPG,Mobile,UK,Europe,P000102,13-17,Female,PC,2025-06-09,126,25646,205168,193670.51,118242.77,3334,35.47,76.58,4.3,Yes,No
G002,Arena of Valor,MOBA,Mobile,Indonesia,Asia,P000103,13-17,Male,iOS,2025-01-19,75,333673,1668365,107322.95,43429.71,1016,42.75,73.2,3.9,Yes,Yes
G008,Valorant,FPS,PC,Indonesia,Asia,P000104,13-17,Male,Android,2025-03-04,8,387584,2713088,73992.68,50222.12,4100,12.25,84.18,4.5,Yes,No
G006,League of Legends,MOBA,PC,USA,North America,P000105,45+,Female,iOS,2025-06-20,42,387437,3874370,239467.1,195754.2,509,384.59,89.75,3.7,Yes,No
G006,Speed Drifters,Racing,PC,South Korea,Asia,P000106,25-34,Male,PC,2025-12-07,227,412944,7845936,236285.56,187211.91,4663,40.15,65.59,5.0,Yes,No
G004,Undawn,RPG,PC,South Korea,Asia,P000107,25-34,Male,iOS,2025-09-27,73,470632,5647584,94792.54,70375.02,4949,14.22,53.31,4.4,Yes,No
G008,Call of Duty Mobile,FPS,PC,Germany,Europe,P000108,45+,Male,PC,2026-05-12,209,82069,1066897,243867.21,194759.66,4507,43.21,50.58,4.7,Yes,No
G010,Undawn,RPG,Mobile,China,Asia,P000109,35-44,Female,PC,2025-03-31,142,360290,6124930,116865.41,58817.55,2106,27.93,79.04,4.7,Yes,No
G009,Undawn,RPG,Mobile,UK,Europe,P000110,18-24,Male,Android,2025-04-05,51,475249,6178237,221388.4,146322.07,3924,37.29,78.99,3.9,No,No
G006,Chess Rush,Strategy,PC,Indonesia,Asia,P000111,13-17,Male,iOS,2025-02-01,93,134134,804804,230731.92,149199.17,889,167.83,43.8,4.4,Yes,Yes
G002,Arena of Valor,MOBA,PC,Germany,Europe,P000112,45+,Male,iOS,2025-02-08,91,259969,2859659,66137.63,52221.97,3509,14.88,38.47,3.8,Yes,Yes
G010,Honor of Kings,MOBA,PC,China,Asia,P000113,13-17,Male,iOS,2025-11-23,149,297227,4755632,217796.06,137024.31,545,251.42,40.62,3.6,No,Yes
G005,Speed Drifters,Racing,PC,Indonesia,Asia,P000114,13-17,Male,Android,2025-09-22,206,199464,2393568,247937.22,126661.44,336,376.97,59.39,4.6,No,Yes
G010,PUBG Mobile,Battle Royale,PC,Indonesia,Asia,P000115,13-17,Female,iOS,2026-01-16,70,171557,857785,234905.76,173464.89,2467,70.31,51.13,4.1,No,Yes
G004,Speed Drifters,Racing,Mobile,Brazil,South America,P000116,18-24,Male,Android,2026-01-18,232,428390,3855510,228660.32,193466.04,3853,50.21,75.19,4.7,Yes,No
G006,Honor of Kings,MOBA,Mobile,India,Asia,P000117,25-34,Male,PC,2025-02-28,51,242153,3632295,81318.82,42037.03,967,43.47,72.82,4.3,Yes,No
G005,Call of Duty Mobile,FPS,PC,USA,North America,P000118,18-24,Female,iOS,2025-04-22,86,224290,4037220,62442.49,25770.64,4697,5.49,55.56,4.2,Yes,Yes
G007,Arena of Valor,MOBA,PC,UK,Europe,P000119,18-24,Male,Android,2026-02-04,79,255324,3574536,30678.09,23849.93,3004,7.94,52.85,3.7,No,Yes
G005,Honor of Kings,MOBA,Mobile,Pakistan,Asia,P000120,25-34,Female,Android,2026-02-23,60,428112,6421680,128185.32,79667.7,4333,18.39,43.55,3.8,Yes,Yes
G005,Call of Duty Mobile,FPS,Mobile,Brazil,South America,P000121,18-24,Male,PC,2025-07-16,154,319914,2239398,207413.75,175194.65,4078,42.96,45.64,3.5,No,Yes
G002,Chess Rush,Strategy,Mobile,Japan,Asia,P000122,35-44,Female,Android,2025-09-30,68,180751,2530514,210635.06,175301.59,4058,43.2,37.47,4.7,No,Yes
G002,Call of Duty Mobile,FPS,Mobile,Japan,Asia,P000123,25-34,Male,iOS,2026-01-26,152,306423,1532115,89683.06,77670.86,4244,18.3,75.34,3.6,Yes,No
G010,Speed Drifters,Racing,Mobile,UK,Europe,P000124,18-24,Male,iOS,2025-09-14,147,18443,165987,6151.26,5435.95,1852,2.94,79.75,3.5,Yes,Yes
G006,League of Legends,MOBA,Mobile,China,Asia,P000125,18-24,Male,iOS,2025-05-07,124,444003,8436057,131204.91,98577.22,862,114.36,58.07,4.3,No,Yes
G003,PUBG Mobile,Battle Royale,PC,India,Asia,P000126,35-44,Male,Android,2026-02-03,182,217677,1959093,135857.83,69792.42,1879,37.14,53.17,4.8,Yes,No
G010,Honor of Kings,MOBA,PC,Japan,Asia,P000127,35-44,Male,iOS,2026-06-14,42,182496,3102432,60853.9,34537.1,3588,9.63,89.18,4.9,Yes,No
G001,Honor of Kings,MOBA,Mobile,Japan,Asia,P000128,18-24,Female,iOS,2026-04-10,167,62160,621600,18246.79,11249.52,4155,2.71,28.13,5.0,Yes,Yes
G010,Undawn,RPG,Mobile,USA,North America,P000129,25-34,Male,PC,2025-01-14,116,486259,6321367,157434.09,126445.54,313,403.98,40.86,3.6,Yes,No
G005,Valorant,FPS,Mobile,Indonesia,Asia,P000130,35-44,Male,iOS,2025-05-07,135,68114,408684,148978.0,130809.0,4228,30.94,33.8,3.9,No,No
G010,League of Legends,MOBA,Mobile,Brazil,South America,P000131,35-44,Male,PC,2026-01-11,122,390839,2735873,185360.49,100758.94,3740,26.94,84.75,4.0,No,No
G010,League of Legends,MOBA,PC,China,Asia,P000132,13-17,Female,Android,2025-09-02,87,132011,1980165,56173.57,36862.49,3158,11.67,62.3,4.2,No,Yes
G008,League of Legends,MOBA,Mobile,China,Asia,P000133,45+,Female,iOS,2025-12-29,193,409817,2049085,40483.1,17545.35,2870,6.11,76.11,4.3,Yes,No
G002,Valorant,FPS,PC,Japan,Asia,P000134,25-34,Male,iOS,2025-04-16,6,78571,864281,154457.86,127427.16,4261,29.91,52.5,4.3,Yes,No
G002,CrossFire,FPS,PC,Germany,Europe,P000135,35-44,Female,iOS,2025-12-28,79,83450,1502100,212636.71,114750.31,4995,22.97,48.65,4.3,No,No
G007,Honor of Kings,MOBA,PC,Pakistan,Asia,P000136,45+,Male,Android,2025-12-05,87,204582,3887058,75705.66,50604.47,1207,41.93,89.92,4.4,Yes,No
G005,Arena of Valor,MOBA,PC,South Korea,Asia,P000137,45+,Female,PC,2026-06-14,191,472273,2361365,7368.23,3892.45,4094,0.95,70.91,4.1,No,Yes
G007,Undawn,RPG,PC,Japan,Asia,P000138,45+,Female,PC,2025-06-07,230,242536,1212680,169442.83,112276.91,830,135.27,37.61,4.1,No,No
G005,Undawn,RPG,Mobile,Germany,Europe,P000139,13-17,Female,PC,2025-12-18,215,184977,1294839,43509.86,24323.7,635,38.31,87.67,4.3,No,Yes
G001,Chess Rush,Strategy,Mobile,USA,North America,P000140,25-34,Male,PC,2026-02-26,7,432904,4761944,126716.96,62605.03,1514,41.35,77.77,4.0,Yes,No
G009,CrossFire,FPS,PC,India,Asia,P000141,45+,Male,PC,2025-07-23,110,312337,1561685,167358.49,83398.95,4098,20.35,65.32,3.7,Yes,Yes
G001,PUBG Mobile,Battle Royale,PC,India,Asia,P000142,18-24,Male,iOS,2025-10-10,48,94409,1888180,205962.07,145512.64,528,275.59,27.2,4.4,Yes,No
G010,Arena of Valor,MOBA,Mobile,Pakistan,Asia,P000143,35-44,Male,PC,2025-09-02,68,332157,5646669,5867.54,2992.59,3263,0.92,39.93,3.7,Yes,No
G002,Honor of Kings,MOBA,Mobile,Pakistan,Asia,P000144,35-44,Male,iOS,2025-11-13,107,164213,2955834,151035.58,132913.5,4079,32.58,83.65,4.2,Yes,Yes
G007,Call of Duty Mobile,FPS,PC,Indonesia,Asia,P000145,13-17,Female,PC,2026-01-30,90,192902,3279334,47451.64,42031.42,2401,17.51,52.01,3.6,Yes,No
G007,Valorant,FPS,Mobile,UK,Europe,P000146,25-34,Male,iOS,2025-06-09,66,133417,2268089,48607.68,26335.32,1962,13.42,72.29,3.6,No,Yes
G007,Chess Rush,Strategy,Mobile,Pakistan,Asia,P000147,25-34,Female,PC,2025-07-29,63,249870,2998440,40646.28,23430.93,3339,7.02,82.51,4.5,No,No
G002,Undawn,RPG,Mobile,Japan,Asia,P000148,45+,Female,PC,2026-01-30,12,285316,3423792,101633.51,66579.8,1048,63.53,69.05,4.4,No,Yes
G002,CrossFire,FPS,Mobile,India,Asia,P000149,45+,Female,PC,2025-11-01,54,369203,3692030,194258.33,100195.02,1562,64.15,29.42,4.0,Yes,No
G005,Call of Duty Mobile,FPS,Mobile,South Korea,Asia,P000150,13-17,Female,PC,2025-12-26,234,153040,2448640,101441.16,86677.57,1102,78.65,52.64,4.5,No,Yes
G001,CrossFire,FPS,PC,Japan,Asia,P000151,13-17,Male,iOS,2025-07-22,198,480028,3840224,46232.57,21156.76,1815,11.66,45.31,4.1,Yes,No
G007,Call of Duty Mobile,FPS,PC,Germany,Europe,P000152,13-17,Male,PC,2025-10-21,235,445121,5341452,142971.15,108417.46,2106,51.48,27.88,4.8,Yes,Yes
G007,PUBG Mobile,Battle Royale,PC,China,Asia,P000153,45+,Male,iOS,2026-06-24,28,419941,6299115,53324.65,45712.06,725,63.05,48.39,4.9,No,No
G003,Chess Rush,Strategy,PC,Pakistan,Asia,P000154,18-24,Male,PC,2025-09-25,49,271683,1630098,169470.41,85240.99,4213,20.23,61.61,5.0,Yes,No
G003,Arena of Valor,MOBA,Mobile,China,Asia,P000155,35-44,Female,Android,2025-09-05,6,93107,1489712,87460.03,39030.76,2564,15.22,59.53,4.2,No,No
G007,Call of Duty Mobile,FPS,Mobile,Indonesia,Asia,P000156,18-24,Female,iOS,2025-07-31,34,313047,3756564,84059.35,67894.43,4511,15.05,71.24,3.5,No,Yes
